01.01.2024;19;
02.01.2024;28;
03.01.2024;30;
04.01.2024;0;
05.01.2024;20;
06.01.2024;7;
07.01.2024;27;
08.01.2024;26;
09.01.2024;12;
10.01.2024;4;
11.01.2024;0;
12.01.2024;6;
13.01.2024;3;
14.01.2024;8;
15.01.2024;27;
16.01.2024;0;
17.01.2024;11;
18.01.2024;16;
19.01.2024;2;
20.01.2024;23;
21.01.2024;0;
22.01.2024;0;
23.01.2024;14;
24.01.2024;27;
25.01.2024;9;
26.01.2024;0;
27.01.2024;0;
28.01.2024;0;
29.01.2024;0;
30.01.2024;0;
31.01.2024;0;
01.02.2024;4;
02.02.2024;8;
03.02.2024;9;
04.02.2024;25;
05.02.2024;23;
06.02.2024;13;
07.02.2024;15;
08.02.2024;23;
09.02.2024;16;
10.02.2024;15;
11.02.2024;8;
12.02.2024;20;
13.02.2024;23;
14.02.2024;16;
15.02.2024;14;
16.02.2024;18;
17.02.2024;26;
18.02.2024;19;
19.02.2024;22;
20.02.2024;26;
21.02.2024;25;
22.02.2024;24;
23.02.2024;11;
24.02.2024;0;
25.02.2024;26;
26.02.2024;27;
27.02.2024;25;
28.02.2024;21;
29.02.2024;29;
01.03.2024;2;
02.03.2024;8;
03.03.2024;0;
04.03.2024;13;
05.03.2024;0;
06.03.2024;1;
07.03.2024;18;
08.03.2024;16;
09.03.2024;6;
10.03.2024;6;
11.03.2024;20;
12.03.2024;8;
13.03.2024;5;
14.03.2024;30;
15.03.2024;26;
16.03.2024;6;
17.03.2024;12;
18.03.2024;21;
19.03.2024;27;
20.03.2024;19;
21.03.2024;5;
22.03.2024;16;
23.03.2024;7;
24.03.2024;3;
25.03.2024;8;
26.03.2024;2;
27.03.2024;23;
28.03.2024;10;
29.03.2024;14;
30.03.2024;14;
31.03.2024;15;
01.04.2024;25;
02.04.2024;25;
03.04.2024;0;
04.04.2024;16;
05.04.2024;6;
06.04.2024;0;
07.04.2024;18;
08.04.2024;7;
09.04.2024;19;
